colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
marksmithsgit,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
chris-mulvi-data,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
tuladhar,1,4,2,4,2.687178460510302e-05,0.05888702085609086,6.110028393002077e-05
noxidsoft,1,2,2,4,0.0,0.05889653410663305,6.110028393002077e-05
neheb,1,4,2,9,0.0001337605808908401,0.05891556983194224,6.110028393002077e-05
alex-305,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
aelhady03,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
samanshirdel,1,1,2,4,0.0,0.05888702085609086,6.110028393002077e-05
ptsmonteiro,1,1,2,1,0.0,0.05886800357178404,6.110028393002077e-05
kristofer,1,1,2,1,0.0,0.05886800357178404,6.110028393002077e-05
kashifkhan,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
meerzulee,1,1,2,2,0.0,0.05886800357178404,6.110028393002077e-05
joaofelipegalvao,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
LeoPazEs,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
DrInfinite,1,1,2,1,0.0,0.0589479606979337,6.110028393002077e-05
toni-ds,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
larrydewey,1,1,2,1,1.4713076913938922e-05,0.05886800357178404,6.110028393002077e-05
apiguy,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
Shubham-Chy,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
d0ctr,1,1,2,1,3.5527190725757216e-06,0.05894414650283889,6.110028393002077e-05
cannikin,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
dakshesh14,1,1,2,1,7.353491870235581e-06,0.0589479606979337,6.110028393002077e-05
DanteIs897,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
BraisonCrece,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
AurelienBoland,1,1,2,1,0.0,0.0589479606979337,6.110028393002077e-05
rodrigotoledo,1,2,2,2,5.4253037593143534e-05,0.0589479606979337,6.110028393002077e-05
Grepsy,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
mheisig,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
victoralensai,1,3,2,4,4.254699340084192e-05,0.05892509230969105,6.110028393002077e-05
AiHKhaled,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
chrisroundhill,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
mykiwi,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
wiehann,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
eososlinux,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
ttmachado,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
nikkos,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
TAnomaly,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
mihailo-obradovic,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
Sameer292,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
Serster,2,0,3,0,0.0,0.07038545519173317,6.1019238720752895e-05
dz0ny,2,3,3,3,0.0002352599457036643,0.07028524120301881,6.1019238720752895e-05
HappyNZ95,2,0,3,0,0.0,0.07038545519173317,6.1019238720752895e-05
YannickHerrero,2,0,3,0,0.0,0.07038545519173317,6.1019238720752895e-05
mir-hussain,1,0,1,0,0.0,0.03586652061316594,6.087074776673558e-05
mrbende,1,0,1,0,0.0,0.05333632828808515,6.0551978842217327e-05
soubky0,2,2,2,2,4.6249453641829996e-05,0.07021755510786952,6.048027176618296e-05
ProPatte,2,1,2,5,0.0,0.07030417868458337,6.048027176618296e-05
impost0r,2,0,2,0,0.0,0.07138958617258064,6.044419565356259e-05
0xMarius,2,0,2,0,0.0,0.07138958617258064,6.044419565356259e-05
manuelgdlvh,1,0,1,0,0.0,0.05089168465381654,6.041241574182104e-05
MartinsBerzinsBN,1,0,1,0,0.0,0.04758995732739645,6.032422123510756e-05
juansalvatore,1,0,1,0,0.0,0.04758995732739645,6.032422123510756e-05
taylortek91,2,1,2,1,1.928895484289252e-06,0.07044822147247509,6.022091896445173e-05
AlwaysRead,2,0,2,0,0.0,0.07050772291933896,6.022091896445173e-05
tijoseymathew,2,0,2,0,0.0,0.07050772291933896,6.022091896445173e-05
William-Jay-Inclino,2,0,2,0,0.0,0.07033124998942918,6.011887173884807e-05
tomaslucas,2,0,2,0,0.0,0.07031771173149089,6.0113059837478206e-05
samgurung,2,0,2,0,0.0,0.07031771173149089,6.0055782995664217e-05
vaibhav-mattoo,2,0,2,0,0.0,0.07031771173149089,6.0055782995664217e-05
itsscb,1,0,1,0,0.0,0.05901462236592813,5.9848602862066854e-05
clintonleroux,1,0,2,0,0.0,0.00018301610541727673,5.954994511525796e-05
joaomendoncaa,1,1,1,2,3.5431427846908047e-06,0.04790664206571072,5.951277050022893e-05
azeemsher788,2,0,2,0,0.0,0.07050772291933896,5.950587585330974e-05
MBMarsell,2,0,2,0,0.0,0.07050772291933896,5.950587585330974e-05
apdingman,2,0,2,0,0.0,0.07050772291933896,5.950587585330974e-05
Jabuk,2,0,2,0,0.0,0.07050772291933896,5.950587585330974e-05
Humam-Hamdan,2,0,2,0,0.0,0.07050772291933896,5.950587585330974e-05
gregg-cbs,2,3,2,3,0.0003127753802587992,0.07044822147247509,5.950587585330974e-05
Woosah,2,6,2,12,0.00032520960263842936,0.07043461091964037,5.950587585330974e-05
tubaman,2,0,2,0,0.0,0.07050772291933896,5.950587585330974e-05
Pindano,2,0,2,0,0.0,0.05904323782852678,5.9243859726745275e-05
apurbapokharel,2,0,2,0,0.0,0.05605347743518416,5.917641803009518e-05
matyssxdxd,1,0,2,0,0.0,0.047497141131854784,5.9137459547675365e-05
Mateleo,1,0,1,0,0.0,0.00036603221083455345,5.912583574493564e-05
abarrosjr,1,0,1,0,0.0,0.05526482790394783,5.853639564381661e-05
rwwiv,1,1,1,1,1.3402863816717444e-07,0.00036603221083455345,5.8473359790593607e-05
PierruMagnus,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
strasse86,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
iqre8,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
koenvaneijk,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
hamkoroke,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
jbnunn,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
johntheyoung,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
sjsrey,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
TomSchimana,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
reorr,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
RedsonBr140,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
dhiman1675,1,0,1,0,0.0,0.07027712821183055,5.799251298586659e-05
Britnell,1,1,1,1,3.9435267482314785e-05,0.07020403352976287,5.799251298586659e-05
