colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
vlofgren,14,17,26,32,0.004977153742023415,0.06414910284813284,0.0008971772138910896
c4software,16,12,68,27,0.001978932998237414,0.057159062675715605,0.0008751236568084255
Shankar-1212,23,0,33,0,0.0,0.06683122881083164,0.000866670728005108
SamrudhNelli,4,6,15,10,0.0003757168177685662,0.053958750572778415,0.0008403904792348165
curtisspendlove,19,3,28,7,0.0034191220410764926,0.05900027825576625,0.0008361908148424249
nmonev,18,0,22,0,0.0,0.06366546692169431,0.0008081090310578755
wavic,13,0,29,0,0.0,0.05187806236683819,0.0008075915494765052
ElBrodino,18,8,28,11,0.0050902371046914014,0.06331599761633891,0.0008033816293232304
TobbEEEEH,16,0,29,0,0.0,0.05521824395020309,0.0008005806137595045
axelfontaine,12,8,29,10,0.004266954888529582,0.06337651759112034,0.000787333050782856
bjabot12,4,2,7,5,2.0430268345284188e-05,0.053754804534834895,0.000777160012783613
hipsterusername,9,2,12,3,0.0026405697595006817,0.06412428694761133,0.0007761336921317996
crazed-developer,14,1,25,1,5.735276882479957e-06,0.06447322375158025,0.0007752278007690511
Swarnim114,6,1,15,1,0.00029760909636302656,0.05384482110104768,0.000767922538775552
tahayvr,11,9,83,17,0.0020113189722343948,0.056152195718013304,0.0007267204018515574
wouterbouvy,13,1,18,1,5.9183919697574166e-05,0.0561551261741396,0.0007220012455004251
MikeVeerman,6,2,22,5,0.0010840466258554996,0.052605928835155594,0.0007216398995798781
rikkarth,9,1,13,2,0.0008026962460445342,0.059928156818356934,0.0007173089550640302
BrouZie,2,2,3,3,0.0004477654608165726,0.0577565441670994,0.0007132165085918557
killeik,16,15,44,19,0.00490520739648504,0.05770627737496093,0.0007119258899967416
socket72,12,0,18,0,0.0,0.06502616464767091,0.0007026408933117848
dimmerz92,5,0,5,0,0.0,0.0648288873408509,0.0007011970160614321
Abdirrahman,6,1,7,4,0.0030999265173929104,0.07091391733029959,0.0006986288651000898
Ratko-Solaja,4,0,5,0,0.0,0.05674831408573267,0.0006819985194627187
sspaeti,13,10,27,18,0.006612697427335236,0.06401285258141544,0.0006737016987618131
sedubois,7,4,16,5,0.002132267087658529,0.06829883879669356,0.0006581597956811504
ChristerNilsson,15,1,32,1,0.006338937619008189,0.06848224819647811,0.0006538996758761188
hyprhex,18,7,46,9,0.004825636120224287,0.06139306731836121,0.000652901466070298
Matt-Ord,14,0,19,0,0.0,0.05454796978629709,0.0006481502608582912
alcides,13,0,14,0,0.0,0.05457981722152446,0.0006452284811073395
emourad,13,7,24,8,0.0031829316486745108,0.06332809236277948,0.0006424450551702083
Roman-Weisman,10,0,21,0,0.0,0.05248551288217044,0.0006354988197594735
pmercatoris,8,1,24,1,0.003501743764005333,0.061770554037479136,0.0006251948519716151
coolaj86,10,1,14,1,2.429872999875128e-05,0.06461588955029686,0.0006230288375969218
LeAlencar,12,0,34,0,0.0,0.048472034915821006,0.0006198790349207736
adamavenir,11,1,43,3,0.001831437111410215,0.05606672814462211,0.0006156997102635195
ironicbadger,17,2,32,2,0.0001387096215247944,0.060075939086812385,0.0005990555742526252
paul-fornage,9,11,22,13,0.0011081484259705561,0.05169539428023554,0.0005959125946991668
ajmAAid,2,0,6,0,0.0,0.057379845233872,0.0005889511592784451
Veltair-D,10,0,36,0,0.0,0.06388723266216173,0.0005843720622967515
JosefAmbruz,14,0,24,0,0.0,0.0637791730692357,0.0005803002338571998
pkrzysiekk,4,0,8,0,0.0,0.05870820802739671,0.0005775762909231562
ryanyogan,8,11,42,20,0.0010467534336932789,0.047414554279054714,0.0005739218424120273
