colaborador,degree,betweenness,closeness,pagerank,eigenvector
fbreuer,0.0003792188092529389,0.0,0.08664109519134883,0.00018604424575167415,1.2713935101783879e-06
scottdavis,0.0003792188092529389,0.0,0.08664109519134883,0.00018604424575167415,1.2713935101783879e-06
diwashpandey,0.0003792188092529389,0.0,0.09981348798084876,0.0001857453871310613,1.2324189947245647e-05
wilk3ns,0.0003792188092529389,0.0,0.10940107634999238,0.00018566318977737833,0.00017610526905159805
justleska,0.0003792188092529389,0.0,0.10940107634999238,0.00018566318977737833,0.00017610526905159805
zarmin,0.0003792188092529389,0.0,0.10940107634999238,0.00018566318977737833,0.00017610526905159805
DarthJahus,0.0003792188092529389,0.0,0.10940107634999238,0.00018566318977737833,0.00017610526905159805
AidenDevsNagios,0.0003792188092529389,0.0,0.10940107634999238,0.00018566318977737833,0.00017610526905159805
dxb-super,0.0003792188092529389,0.0,0.10940107634999238,0.00018566318977737833,0.00017610526905159805
hojner,0.0003792188092529389,0.0,0.10475755167836578,0.00018560227112957698,2.1206446122818232e-05
sebgott,0.0003792188092529389,0.0,0.0999524652684857,0.00018559625576686063,1.3130546295302631e-05
subsy,0.0003792188092529389,0.0,0.09919480119443819,0.00018465028542296086,1.2047549404143116e-05
JanProchy,0.0003792188092529389,0.0,0.09764126843828404,0.00018342371340419235,1.2581687833037855e-05
MattyGam3r,0.0003792188092529389,0.0,0.0877118212411913,0.00018262780060593413,2.205150360703581e-06
dc-shimla,0.0003792188092529389,0.0,0.12173579725054144,0.00018242029796397625,0.0004271263512531618
tjosten,0.0003792188092529389,0.0,0.12173579725054144,0.00018242029796397625,0.0004271263512531618
avaldez-gr,0.0003792188092529389,0.0,0.0940555205126315,0.00018233582828894893,6.706038588135569e-06
liamjdavis,0.0003792188092529389,0.0,0.09446928558632595,0.00018229341331880964,6.149975971157867e-06
ovistoica,0.0003792188092529389,0.0,0.09977385114184437,0.00018218646784915054,1.331662729978839e-05
Meetbuilds,0.0003792188092529389,0.0,0.09849098861050275,0.000181755754016252,1.2776585401142049e-05
sabari245,0.0003792188092529389,0.0,0.10930588703793287,0.00018127587295238825,0.00017539319991150261
cdj5492,0.0003792188092529389,0.0,0.10930588703793287,0.00018127587295238825,0.00017539319991150261
daemonp,0.0003792188092529389,0.0,0.10930588703793287,0.00018127587295238825,0.00017539319991150261
kbsali,0.0003792188092529389,0.0,0.10930588703793287,0.00018127587295238825,0.00017539319991150261
curtislmartin,0.0003792188092529389,0.0,0.10930588703793287,0.00018127587295238825,0.00017539319991150261
l-konrad,0.0003792188092529389,0.0,0.10930588703793287,0.00018127587295238825,0.00017539319991150261
gcavanunez,0.0003792188092529389,0.0,0.10077026909934322,0.00018121153558536834,1.5577535289398236e-05
JordanAdair,0.0003792188092529389,0.0,0.12178300225165647,0.00018081337902083042,0.0004271267379924288
farens,0.0003792188092529389,0.0,0.09434158604137598,0.0001801163678032215,6.426758681641179e-06
nullrish,0.0003792188092529389,0.0,0.10453091693517744,0.00017922092635872132,2.1063987744527315e-05
ilya-khadykin,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
taufik-nurhidayat,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
ThinkRamen,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
fredrik,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
dewnuwan7,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
mcdent,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
diverseFPT,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
NurdinDev,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
ItsMick,0.0003792188092529389,0.0,0.10578523512500211,0.00017867186639277798,4.9281603544268936e-05
xndrdev,0.0003792188092529389,0.0,0.10198510794990764,0.00017782342383404227,7.722774455730982e-05
f4n4t,0.0003792188092529389,0.0,0.10198510794990764,0.00017782342383404227,7.722774455730982e-05
matsest,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
tony-ho,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
centifanto,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
the-exodus,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
rdtechie,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
dsebastien,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
ArjixWasTaken,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
thesomewhatyou,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
DennisKraaijeveld,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
XY55bqg6iAw8ttP,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
hcabel,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
mhnagaoka,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
creaumond,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
dustenhubbard,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
cover,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
Shashwat-Chauhan,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
leoplanet,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
MartinCura,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
alexindigo,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
fgasperino,0.0003792188092529389,0.0,0.12171220847037373,0.00017741684223856585,0.0004268391548758876
flitzcore,0.0003792188092529389,0.0,0.1002715855630732,0.00017715738157965502,2.316527941403971e-05
seba1342,0.0003792188092529389,0.0,0.09442668067701161,0.00017610479154356372,6.360091176174187e-06
okhomenko,0.0003792188092529389,0.0,0.0999922441777341,0.0001760928886222169,1.285498694605005e-05
SophaHum,0.0003792188092529389,0.0,0.0999922441777341,0.0001760928886222169,1.285498694605005e-05
rubenvisscher,0.0003792188092529389,0.0,0.0999922441777341,0.0001760928886222169,1.285498694605005e-05
rahoe,0.0003792188092529389,0.0,0.0999922441777341,0.0001760928886222169,1.285498694605005e-05
diet-cola-pls,0.0003792188092529389,0.0,0.1092868690497575,0.0001759175935230483,0.0001752752681212416
maralcbr,0.0003792188092529389,0.0,0.1092868690497575,0.0001759175935230483,0.0001752752681212416
jabaldoo,0.0003792188092529389,0.0,0.1092868690497575,0.0001759175935230483,0.0001752752681212416
LukasKorotaj,0.0003792188092529389,0.0,0.1092868690497575,0.0001759175935230483,0.0001752752681212416
Razcall,0.0003792188092529389,0.0,0.1092868690497575,0.0001759175935230483,0.0001752752681212416
efecege,0.0003792188092529389,0.0,0.1092868690497575,0.0001759175935230483,0.0001752752681212416
nicholaspsmith,0.0003792188092529389,0.0,0.1092868690497575,0.0001759175935230483,0.0001752752681212416
chuanjin,0.0003792188092529389,0.0,0.1092868690497575,0.0001759175935230483,0.0001752752681212416
tomydng,0.0003792188092529389,0.0,0.09897207592586169,0.00017426654172119293,3.9884083251065966e-05
vinnyA3,0.0003792188092529389,0.0,0.09897207592586169,0.00017426654172119293,3.9884083251065966e-05
thefonso,0.0003792188092529389,0.0,0.10183629699472782,0.00017400762854165796,2.3861370184901214e-05
thearchitected,0.0003792188092529389,0.0,0.10183629699472782,0.00017400762854165796,2.3861370184901214e-05
klajo,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
natanschneider,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
EchoTD,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
nvolker,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
scostadavid,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
MehrabUd,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
lucasew,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
AstroGlade,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
richoy,0.0003792188092529389,0.0,0.10973554854358512,0.00017234507690005893,0.00018689944304892302
czroth,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
rickdotnet,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
timohubois,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
olgkv,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
innerviewer,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
keydmitrij,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
aliismayilov,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
eamonburns,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
aislandener,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
Esteban-Bermudez,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
mgbaron,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
ollymarkey,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
pedroadame,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
crbelaus,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
Kasui92,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
nicholaschiang,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
chantastic,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
harilvfs,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
slamotte,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
carljohanlandin,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
johannesnormannjensen,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
james-darko,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
michaldziurowski,0.0003792188092529389,0.0,0.13901212346209607,0.00017104715051446256,0.024680022921784683
