colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
helioascorreia,11,17,0.003917378917378918,0.007672392552906676,0.16593888903024354,0.0,0.0011174974367473619,0.0,22
opswole,11,22,0.003917378917378918,0.003601104984095034,0.2061482892922141,0.0,0.0011134270226360364,0.007016809301179615,18
marcinczenko,9,26,0.0032051282051282055,0.0017983720325191477,0.2483384673031044,0.0,0.001109865521411629,0.025778124532167677,2
halilozercan,12,20,0.004273504273504274,0.0036841922152902697,0.19340744880176716,0.0,0.0011095413500607442,0.004783076767386322,15
pythops,11,22,0.003917378917378918,0.0029407869833798983,0.22235507743070282,0.0,0.0011053311282251807,0.0022893681775588825,3
Reflux0301,11,12,0.003917378917378918,0.005879647758351218,0.2320553900020509,0.0,0.0011003598052350954,0.0009555691542895869,12
guruswarupa,10,11,0.0035612535612535613,0.0054144270890295375,0.244503211799657,0.0,0.0010988868778664571,0.0008203623007587593,16
gangaasoonu,15,23,0.005341880341880342,0.0032519006403933636,0.2545280295589466,0.0,0.001093985523943887,0.010804729157580139,2
anshul12ra,9,26,0.0032051282051282055,0.0007679922363726022,0.1808203451188516,0.0,0.0010723569068248086,0.014451456705959848,1
rez1coder,12,24,0.004273504273504274,0.003284689835475661,0.20865621513870755,0.0,0.0010666306195415685,0.0074187372180148665,1
ashd90,12,14,0.004273504273504274,0.004310986803439965,0.22187566520637259,0.0,0.0010639053211153075,0.0007047216349541931,7
pipetogrep,6,25,0.002136752136752137,0.002599625160178012,0.23296461878307764,0.0,0.001059525245192179,0.027905632375074763,3
yapus,11,13,0.003917378917378918,0.008046537314612395,0.27260302055258756,0.0,0.0010562921137446933,0.003272464718031083,8
ardavis,9,25,0.0032051282051282055,0.000809538247676017,0.22324561090727132,0.0,0.0010551016749916341,0.024907350662051166,1
sepulworld,6,22,0.002136752136752137,0.0,0.22145328974703252,0.0,0.0010371087632790824,0.02720291616141825,5
